,Symbol,Year,Quarter,Sales,IncomeFVTPL,IncomeHTM,IncomeLoansReceivables,IncomeAFS,IncomeDerivatives,RevenueBrokerageServices,RevenueUnderwritingIssuuanceServices,RevenueAdvisoryServices,RevenueAuctionTrustServices,RevenueCustodyServices,OtherRevenues,FVTPL,Revenues,InterestExpenses,NetIncome,NetIncome2
97,APS,2016,2,23857628998.0,16233642641.0,0.0,2622079180.0,0.0,0.0,2632421441.0,0.0,3202686516.0,-259993077.0,-573207703.0,0.0,1972806983.0,5001907177.0,0.0,4354310945.0,4354310945.0
98,APS,2016,3,6817933747.0,1636384202.0,0.0,2120188519.0,0.0,0.0,2420440533.0,0.0,322836772.0,203963919.0,114119802.0,0.0,2606717831.0,3061361026.0,4763889.0,80846009.0,80846009.0
99,APS,2016,4,10589045525.0,2249741243.0,0.0,0.0,1315243379.0,0.0,1864772606.0,0.0,4913181818.0,0.0,218240235.0,27866244.0,2542268939.0,6996194659.0,0.0,1336928020.0,1336928020.0
100,APS,2017,1,8018087848.0,3783972256.0,0.0,1239777981.0,0.0,0.0,2152885962.0,0.0,625151364.0,0.0,216300285.0,0.0,1044350824.0,2994337611.0,0.0,1849713387.0,1849713387.0
101,APS,2017,2,30093817696.0,12223602355.0,0.0,1631061029.0,0.0,0.0,3211951394.0,0.0,12785318273.0,0.0,231884645.0,10000000.0,6829896719.0,16229154312.0,0.0,11286201545.0,11286201545.0
102,APS,2017,3,41766569912.0,-2238854592.0,0.0,2601021729.0,0.0,0.0,3195167859.0,0.0,37887352181.0,0.0,321034699.0,848036.0,-1424807133.0,41403554739.0,0.0,-2019951185.0,-2019951185.0
103,APS,2017,4,37218620525.0,-1224212889.0,0.0,2726764022.0,0.0,0.0,3145657896.0,0.0,32315513183.0,0.0,254898313.0,0.0,-2794878454.0,35716069392.0,0.0,249023901.0,249023901.0
104,APS,2018,1,21447554658.0,2625651524.0,0.0,2782964659.0,0.0,0.0,3666067901.0,0.0,12105909090.0,0.0,266961484.0,0.0,2158969478.0,16038938475.0,0.0,3575488462.0,3575488462.0
105,APS,2018,2,62777372065.0,-8437268507.0,0.0,2469973241.0,0.0,0.0,68298359457.0,0.0,152727272.0,0.0,293580602.0,0.0,-16396925019.0,68744667331.0,0.0,-9551599471.0,-9551599471.0
106,APS,2018,3,8225431512.0,2470259528.0,0.0,2572287902.0,0.0,0.0,2606587812.0,0.0,277727273.0,0.0,298568997.0,0.0,62810124.0,3182884082.0,0.0,161542554.0,161542554.0
107,APS,2018,4,77047173851.0,3949669039.0,0.0,2925655917.0,0.0,0.0,1940084358.0,0.0,67941259361.0,0.0,290505176.0,0.0,7546655373.0,70171848895.0,0.0,10872616441.0,10872616441.0
108,APS,2019,1,12429989378.0,7003756617.0,0.0,2063249295.0,0.0,0.0,1478052331.0,0.0,1607545455.0,0.0,277385680.0,0.0,-170588073.0,3362983466.0,0.0,751243481.0,751243481.0
109,APS,2019,2,-3070694553.0,-7030703002.0,0.0,2077987995.0,0.0,0.0,1322286098.0,0.0,325204000.0,0.0,234530356.0,0.0,-16742107019.0,1882020454.0,0.0,-19783191466.0,-19783191466.0
110,APS,2019,3,-1211378172.0,-5582873452.0,0.0,2348374514.0,0.0,0.0,1389342166.0,0.0,400909091.0,0.0,232869509.0,0.0,-12897055180.0,2023120766.0,0.0,-13103058376.0,-13103058376.0
111,APS,2019,4,19522241205.0,-244592457.0,0.0,2274291613.0,0.0,0.0,1378837624.0,0.0,15877976955.0,0.0,235727470.0,0.0,-3763756987.0,17492542049.0,0.0,-3500471041.0,-3500471041.0
112,APS,2020,1,40041892210.0,1170205985.0,0.0,2351318468.0,0.0,0.0,1434303616.0,0.0,34856985454.0,0.0,229078687.0,0.0,1082661167.0,36520367757.0,0.0,2470027674.0,2470027674.0
113,APS,2020,2,45498341645.0,22353049061.0,0.0,2817937020.0,0.0,0.0,2970295270.0,0.0,17132909091.0,0.0,224151203.0,0.0,3283794741.0,20327355564.0,0.0,3240110447.0,3240110447.0
114,APS,2020,3,26095468558.0,4452841481.0,0.0,2312116992.0,0.0,0.0,2511170390.0,0.0,16604205000.0,0.0,215134695.0,0.0,4753889720.0,19330510085.0,0.0,14019786373.0,14019786373.0
115,APS,2020,4,46871981917.0,25210117608.0,0.0,2563029304.0,0.0,0.0,3925088004.0,0.0,14960174999.0,0.0,213572002.0,0.0,25460605306.0,19098835005.0,0.0,41109056263.0,41109056263.0
116,APS,2021,1,46988915416.0,26705283487.0,,1723451788.0,,,4680299845.0,,13680180000.0,,199700296.0,,28473185314.0,18560180141.0,,34042947726.0,34042947726.0
117,APS,2021,2,24140614599.0,1004670653.0,,1440280416.0,,,3636641429.0,,17849826227.0,,209195874.0,,-1654983203.0,21695663530.0,,3704074404.0,3704074404.0
118,APS,2021,3,134122503057.0,119088815474.0,0.0,3065722871.0,0.0,0.0,4634070068.0,0.0,7107706133.0,0.0,226188511.0,0.0,114576706127.0,11967964712.0,0.0,96984327219.0,96984327219.0
119,APS,2021,4,542198024532.0,522459179561.0,,10074405336.0,,,8701689738.0,,714553636.0,,248196261.0,,522473741936.0,9664439635.0,,427865604026.0,427865604026.0
120,APS,2022,1,102771552645.0,93092921961.0,,4452264619.0,,,4920667766.0,,60717657.0,,244980642.0,,56949833042.0,5226366065.0,55464109.0,46321195878.0,46321195878.0
121,APS,2022,2,56096478575.0,15564103640.0,607890398.0,4540927883.0,,,3486965347.0,,31713274173.0,,183317134.0,0.0,-474200796710.0,35383556654.0,386121889.0,-350607423883.0,-350607423883.0
